index,taz,sector
915,13037,25
916,13038,25
917,13040,25
918,13041,25
919,13039,25
920,15193,31
921,13132,25
922,13134,25
923,13269,20
924,13272,20
925,13274,20
926,15197,31
927,15325,31
928,15324,31
929,15326,31
930,13005,26
931,13007,26
932,13008,26
933,13010,26
934,13011,26
935,13124,25
936,13125,25
937,15328,31
938,15331,31
939,13006,26
940,13071,26
941,13009,26
942,15329,31
943,15330,31
944,15332,31
945,13280,26
946,13281,26
947,13283,26
948,13271,20
949,13126,25
950,13127,25
951,15057,31
952,15194,31
953,15195,31
954,15196,31
955,15021,31
956,15198,31
957,15201,31
958,15199,31
959,13002,24
960,13028,25
961,13128,24
962,13133,25
963,13152,20
964,13153,25
965,13154,25
966,13306,25
967,13307,25
968,13278,20
969,13279,20
970,13308,25
971,13135,25
972,13309,25
973,13026,25
974,9014,25
975,13029,25
976,13090,19
977,13021,24
978,13022,24
979,13023,25
980,13107,25
981,13140,25
982,13142,25
983,13144,24
984,13108,25
985,13109,25
986,13036,25
987,13024,24
988,13141,24
989,13054,25
990,13060,25
991,13056,25
992,15125,36
993,15128,36
994,13061,25
995,15121,36
996,15122,36
997,15126,36
998,15127,36
999,15129,36
1000,15123,36
1001,13058,25
1002,12031,17
1003,12032,17
1004,13018,24
1005,13015,24
1006,13047,24
1007,13050,24
1008,13049,24
1009,13048,24
1010,13012,19
1011,13025,24
1012,13129,24
1013,13014,19
1014,13089,24
1015,13316,19
1016,13317,19
1017,13013,19
1018,12030,17
1019,13043,24
1020,13044,24
1021,13046,24
1022,12024,17
1023,12029,17
1024,12120,17
1025,12122,17
1026,12124,17
1027,12128,17
1028,12121,17
1029,12025,17
1030,12028,17
1031,19064,40
1032,19066,39
1033,19067,40
1034,19069,40
1035,19068,40
1036,19103,40
1037,19119,40
1038,19120,41
1039,19152,39
1040,19154,39
1041,19155,39
1042,19071,40
1043,19107,40
1044,19058,39
1045,19059,39
1046,19060,39
1047,19061,39
1048,19063,39
1049,19065,39
1050,19098,39
1051,19148,39
1052,19151,39
1053,19122,41
1054,19130,41
1055,19131,41
1056,19132,41
1057,19134,41
1058,19136,41
1059,19156,41
1060,19102,40
1061,19133,40
1062,19135,40
1063,19153,40
1064,19104,41
1065,19105,41
1066,19157,41
1067,19123,41
1068,19124,41
1069,19127,41
1070,19129,41
1071,15109,36
1072,15117,36
1073,15110,36
1074,15111,36
1075,15118,36
1076,15119,36
1077,17022,37
1078,17023,37
1079,17026,37
1080,17025,37
1081,17063,38
1082,17066,37
1083,17067,38
1084,9003,38
1085,17068,37
1086,17069,38
1087,17065,38
1088,17064,38
1089,17070,38
1090,19056,43
1091,19057,43
1092,15105,36
1093,15188,36
1094,15189,36
1095,15190,36
1096,17027,37
1097,17035,38
1098,17036,38
1099,17037,37
1100,15106,36
1101,15107,36
1102,15186,36
1103,15187,36
1104,15108,36
1105,17029,37
1106,17028,37
1107,17038,37
1108,17097,37
1109,17098,37
1110,17030,37
1111,17031,37
1112,17032,37
1113,15112,36
1114,15113,36
1115,15116,36
1116,15115,36
1117,15114,36
1118,15192,36
1119,15191,36
1120,17045,37
1121,17048,37
1122,17046,37
1123,17047,37
1124,17049,37
1125,17050,37
1126,17059,38
1127,17060,38
1128,17056,38
1129,17024,37
1130,17053,38
1131,17052,38
1132,17057,38
1133,17095,37
1134,17096,37
1135,17012,37
1136,17054,38
1137,17055,38
1138,17051,37
1139,17084,37
1140,17058,38
1141,17061,38
1142,17062,38
1143,17043,38
1144,19001,40
1145,19003,40
1146,19005,40
1147,19002,40
1148,19013,43
1149,19015,43
1150,19054,43
1151,19075,40
1152,19110,40
1153,19004,40
1154,19073,40
1155,19137,40
1156,19076,41
1157,19074,40
1158,19014,43
1159,19049,43
1160,19050,43
1161,19051,43
1162,19052,43
1163,19055,43
1164,19053,43
1165,9071,0
1166,19170,43
1167,9076,0
1168,9038,0
1169,15101,35
1170,15102,35
1171,15404,35
1172,9079,0
1173,9078,0
1174,9039,0
1175,9070,0
1176,9040,0
1177,11023,9
1178,11061,10
1179,11062,10
1180,11126,10
1181,11021,10
1182,11143,10
1183,11142,10
1184,19165,43
1185,19164,43
1186,16051,46
1187,16053,46
1188,16054,46
1189,16056,46
1190,16061,46
1191,16063,46
1192,16058,46
1193,16351,46
1194,16064,46
1195,16065,46
1196,16352,46
1197,16085,45
1198,16349,46
1199,16350,46
1200,16087,47
1201,16353,47
1202,16089,47
1203,16100,47
1204,16101,47
1205,16102,47
1206,16119,47
1207,16131,47
1208,16118,47
1209,16354,47
1210,19012,43
1211,16001,42
1212,19081,41
1213,19086,41
1214,19087,41
1215,19088,41
1216,11018,8
1217,11054,8
1218,12007,56
1219,12101,11
1220,12117,11
1221,12119,11
1222,12131,11
1223,16022,42
1224,16023,44
1225,16024,44
1226,16025,44
1227,16027,44
1228,16026,44
1229,16028,44
1230,16029,44
1231,16034,44
1232,16037,44
1233,16035,44
1234,16343,44
1235,16228,44
1236,16301,44
1237,16303,44
1238,16234,44
